Season,Home,Home_xG,Home_goals,Away_goals,Away_xG,Away,Round
2020/21,Krasnodar,1.1,1,2,1.6,Sevilla,GS
2020/21,Dortmund,1.6,3,0,0.1,Club Brugge,GS
2020/21,Juventus,1.0,2,1,0.4,Ferencváros,GS
2020/21,Paris S-G,1.1,1,0,1.4,RB Leipzig,GS
2020/21,Lazio,3.3,3,1,0.6,Zenit,GS
2020/21,Dynamo Kyiv,0.3,0,4,3.0,Barcelona,GS
2020/21,Gladbach,3.2,4,0,0.7,Shakhtar,GS
2020/21,Olympiacos,0.1,0,1,2.4,Manchester City,GS
2020/21,Liverpool,0.2,0,2,1.2,Atalanta,GS
2020/21,Ajax,2.4,3,1,1.4,Midtjylland,GS
2020/21,Inter,0.2,0,2,2.0,Real Madrid,GS
2020/21,Marseille,1.3,0,2,2.1,Porto,GS
2020/21,Atlético Madrid,1.6,0,0,0.2,Loko Moscow,GS
2020/21,Bayern Munich,1.3,3,1,3.3,RB Salzburg,GS
2020/21,Shakhtar,1.3,2,0,1.4,Real Madrid,GS
2020/21,Liverpool,2.0,1,0,1.5,Ajax,GS
2020/21,Porto,0.1,0,0,2.5,Manchester City,GS
2020/21,Loko Moscow,1.1,1,3,2.4,RB Salzburg,GS
2020/21,Gladbach,1.3,2,3,1.6,Inter,GS
2020/21,Marseille,2.0,2,1,0.3,Olympiacos,GS
2020/21,Atalanta,2.4,1,1,0.7,Midtjylland,GS
2020/21,Atlético Madrid,1.6,1,1,1.1,Bayern Munich,GS
2020/21,Manchester Utd,1.2,1,3,2.8,Paris S-G,GS
2020/21,Krasnodar,1.5,1,0,0.7,Rennes,GS
2020/21,Başakşehir,0.6,3,4,2.1,RB Leipzig,GS
2020/21,Juventus,2.9,3,0,0.6,Dynamo Kyiv,GS
2020/21,Dortmund,1.4,1,1,1.9,Lazio,GS
2020/21,Club Brugge,2.0,3,0,0.2,Zenit,GS
2020/21,Ferencváros,0.8,0,3,4.0,Barcelona,GS
2020/21,Sevilla,1.3,0,4,2.4,Chelsea,GS
2020/21,Lazio,2.7,2,2,1.1,Club Brugge,GS
2020/21,Chelsea,2.5,1,1,0.4,Krasnodar,GS
2020/21,Zenit,1.2,1,2,1.6,Dortmund,GS
2020/21,RB Leipzig,1.5,3,2,2.0,Manchester Utd,GS
2020/21,Barcelona,0.9,0,3,2.9,Juventus,GS
2020/21,Rennes,2.4,1,3,1.5,Sevilla,GS
2020/21,Dynamo Kyiv,0.5,1,0,0.7,Ferencváros,GS
2020/21,Paris S-G,3.1,5,1,0.8,Başakşehir,GS
2020/21,Midtjylland,2.3,1,1,1.1,Liverpool,GS
2020/21,Ajax,0.7,0,1,1.2,Atalanta,GS
2020/21,Manchester City,2.4,3,0,0.5,Marseille,GS
2020/21,Inter,1.3,0,0,0.4,Shakhtar,GS
2020/21,Real Madrid,2.8,2,0,1.0,Gladbach,GS
2020/21,Bayern Munich,1.7,2,0,0.4,Loko Moscow,GS
2020/21,RB Salzburg,1.4,0,2,0.6,Atlético Madrid,GS
2020/21,Olympiacos,1.0,0,2,1.0,Porto,GS
2019/20,Lyon,1.6,1,1,1.0,Zenit,GS
2019/20,Inter,1.4,1,1,1.0,Slavia Prague,GS
2019/20,Benfica,1.8,1,2,1.0,RB Leipzig,GS
2019/20,Chelsea,2.8,0,1,1.0,Valencia,GS
2019/20,RB Salzburg,4.3,6,2,0.7,Genk,GS
2019/20,Ajax,1.5,3,0,2.0,Lille,GS
2019/20,Napoli,1.8,2,0,0.7,Liverpool,GS
2019/20,Dortmund,3.4,0,0,0.4,Barcelona,GS
2019/20,Club Brugge,1.7,0,0,0.6,Galatasaray,GS
2019/20,Olympiacos,1.7,2,2,1.7,Tottenham,GS
2019/20,Paris S-G,1.7,3,0,0.6,Real Madrid,GS
2019/20,Dinamo Zagreb,2.7,4,0,1.8,Atalanta,GS
2019/20,Leverkusen,1.5,1,2,0.9,Loko Moscow,GS
2019/20,Atlético Madrid,2.3,2,2,1.1,Juventus,GS
2019/20,Bayern Munich,4.3,3,0,0.3,Red Star,GS
2019/20,Shakhtar,0.9,0,3,2.5,Manchester City,GS
2019/20,Atalanta,2.5,1,2,1.5,Shakhtar,GS
2019/20,Real Madrid,2.3,2,2,1.4,Club Brugge,GS
2019/20,Tottenham,1.9,2,7,1.3,Bayern Munich,GS
2019/20,Manchester City,3.6,2,0,0.1,Dinamo Zagreb,GS
2019/20,Red Star,1.3,3,1,0.9,Olympiacos,GS
2019/20,Juventus,1.2,3,0,0.5,Leverkusen,GS
2019/20,Loko Moscow,1.1,0,2,2.9,Atlético Madrid,GS
2019/20,Galatasaray,0.5,0,1,2.6,Paris S-G,GS
2019/20,Genk,0.7,0,0,3.2,Napoli,GS
2019/20,Slavia Prague,1.4,0,2,0.8,Dortmund,GS
2019/20,Liverpool,2.5,4,3,1.6,RB Salzburg,GS
2019/20,Valencia,2.0,0,3,1.7,Ajax,GS
2019/20,Barcelona,1.5,2,1,1.1,Inter,GS
2019/20,RB Leipzig,1.9,0,2,1.5,Lyon,GS
2019/20,Lille,0.6,1,2,1.4,Chelsea,GS
2019/20,Zenit,2.1,3,1,1.2,Benfica,GS
2019/20,Atlético Madrid,0.8,1,0,0.5,Leverkusen,GS
2019/20,Shakhtar,1.5,2,2,2.1,Dinamo Zagreb,GS
2019/20,Manchester City,4.2,5,1,1.8,Atalanta,GS
2019/20,Tottenham,3.7,5,0,0.6,Red Star,GS
2019/20,Juventus,2.4,2,1,0.7,Loko Moscow,GS
2019/20,Club Brugge,0.3,0,5,3.5,Paris S-G,GS
2019/20,Olympiacos,0.5,2,3,2.6,Bayern Munich,GS
2019/20,Galatasaray,1.2,0,1,2.4,Real Madrid,GS
2019/20,RB Leipzig,2.2,2,1,0.7,Zenit,GS
2019/20,Ajax,0.5,0,1,1.6,Chelsea,GS
2019/20,Benfica,0.5,2,1,1.5,Lyon,GS
2019/20,Lille,1.9,1,1,0.6,Valencia,GS
2019/20,Genk,1.3,1,4,2.5,Liverpool,GS
2019/20,RB Salzburg,2.7,2,3,0.9,Napoli,GS
2019/20,Slavia Prague,1.5,1,2,2.5,Barcelona,GS
2019/20,Inter,2.1,2,0,0.4,Dortmund,GS
2019/20,Barcelona,2.3,0,0,0.3,Slavia Prague,GS
2019/20,Liverpool,2.3,2,1,0.7,Genk,GS
2019/20,Chelsea,4.8,4,4,1.0,Ajax,GS
2019/20,Zenit,1.2,0,2,1.4,RB Leipzig,GS
2019/20,Valencia,2.3,4,1,1.5,Lille,GS
2019/20,Dortmund,3.5,3,2,1.4,Inter,GS
2019/20,Napoli,2.7,1,1,1.5,RB Salzburg,GS
2019/20,Lyon,1.4,3,1,1.3,Benfica,GS
2019/20,Bayern Munich,3.3,2,0,0.2,Olympiacos,GS
2019/20,Loko Moscow,2.4,1,2,2.4,Juventus,GS
2019/20,Red Star,0.5,0,4,2.5,Tottenham,GS
2019/20,Real Madrid,4.2,6,0,0.6,Galatasaray,GS
2019/20,Leverkusen,1.3,2,1,2.0,Atlético Madrid,GS
2019/20,Paris S-G,1.9,1,0,1.8,Club Brugge,GS
2019/20,Dinamo Zagreb,2.0,3,3,2.7,Shakhtar,GS
2019/20,Atalanta,0.7,1,1,2.0,Manchester City,GS
2019/20,Tottenham,2.2,4,2,1.2,Olympiacos,GS
2019/20,Manchester City,1.2,1,1,1.0,Shakhtar,GS
2019/20,Loko Moscow,1.0,0,2,0.7,Leverkusen,GS
2019/20,Galatasaray,0.9,1,1,1.1,Club Brugge,GS
2019/20,Red Star,0.2,0,6,4.9,Bayern Munich,GS
2019/20,Juventus,0.4,1,0,0.7,Atlético Madrid,GS
2019/20,Atalanta,3.0,2,0,0.3,Dinamo Zagreb,GS
2019/20,Real Madrid,3.9,2,2,2.4,Paris S-G,GS
2019/20,Valencia,3.1,2,2,2.1,Chelsea,GS
2019/20,Liverpool,0.8,1,1,0.5,Napoli,GS
2019/20,Zenit,0.9,2,0,0.6,Lyon,GS
2019/20,Slavia Prague,2.4,1,3,2.3,Inter,GS
2019/20,Barcelona,2.4,3,1,1.6,Dortmund,GS
2019/20,Genk,1.6,1,4,3.0,RB Salzburg,GS
2019/20,RB Leipzig,3.2,2,2,0.9,Benfica,GS
2019/20,Lille,2.4,0,2,1.6,Ajax,GS
2019/20,Napoli,3.0,4,0,1.8,Genk,GS
2019/20,RB Salzburg,0.7,0,2,3.4,Liverpool,GS
2019/20,Benfica,2.4,3,0,0.1,Zenit,GS
2019/20,Chelsea,2.7,2,1,0.3,Lille,GS
2019/20,Inter,1.7,1,2,1.5,Barcelona,GS
2019/20,Lyon,1.1,2,2,3.4,RB Leipzig,GS
2019/20,Dortmund,2.9,2,1,2.8,Slavia Prague,GS
2019/20,Ajax,1.2,0,1,1.1,Valencia,GS
2019/20,Dinamo Zagreb,0.4,1,4,3.6,Manchester City,GS
2019/20,Shakhtar,0.6,0,3,2.9,Atalanta,GS
2019/20,Leverkusen,2.2,0,2,0.9,Juventus,GS
2019/20,Atlético Madrid,3.2,2,0,0.1,Loko Moscow,GS
2019/20,Bayern Munich,2.9,3,1,1.0,Tottenham,GS
2019/20,Paris S-G,4.4,5,0,0.3,Galatasaray,GS
2019/20,Club Brugge,1.0,1,3,1.2,Real Madrid,GS
2019/20,Olympiacos,3.5,1,0,1.2,Red Star,GS
2018/19,Barcelona,1.5,4,0,0.7,PSV Eindhoven,GS
2018/19,Inter,1.2,2,1,0.8,Tottenham,GS
2018/19,Liverpool,2.3,3,2,0.8,Paris S-G,GS
2018/19,Red Star,0.2,0,0,1.6,Napoli,GS
2018/19,Schalke 04,0.9,1,1,2.2,Porto,GS
2018/19,Monaco,0.7,1,2,0.9,Atlético Madrid,GS
2018/19,Club Brugge,0.6,0,1,1.0,Dortmund,GS
2018/19,Galatasaray,1.8,3,0,0.9,Loko Moscow,GS
2018/19,Ajax,1.7,3,0,0.4,AEK Athens,GS
2018/19,Shakhtar,0.6,2,2,1.8,Hoffenheim,GS
2018/19,Benfica,0.7,0,2,2.4,Bayern Munich,GS
2018/19,Manchester City,1.2,1,2,0.8,Lyon,GS
2018/19,Young Boys,1.7,0,3,2.0,Manchester Utd,GS
2018/19,Real Madrid,3.5,3,0,0.6,Roma,GS
2018/19,Viktoria Plzeň,1.5,2,2,1.7,CSKA Moscow,GS
2018/19,Valencia,2.0,0,2,3.7,Juventus,GS
2018/19,Juventus,3.3,3,0,0.2,Young Boys,GS
2018/19,Hoffenheim,0.6,1,2,2.2,Manchester City,GS
2018/19,Manchester Utd,0.9,0,0,0.4,Valencia,GS
2018/19,Bayern Munich,1.5,1,1,1.2,Ajax,GS
2018/19,Lyon,2.8,2,2,1.6,Shakhtar,GS
2018/19,Roma,3.1,5,0,0.3,Viktoria Plzeň,GS
2018/19,AEK Athens,2.8,2,3,1.2,Benfica,GS
2018/19,CSKA Moscow,0.4,1,0,2.2,Real Madrid,GS
2018/19,Paris S-G,5.4,6,1,0.3,Red Star,GS
2018/19,Loko Moscow,0.7,0,1,1.0,Schalke 04,GS
2018/19,Porto,1.8,1,0,1.5,Galatasaray,GS
2018/19,Tottenham,0.5,2,4,1.4,Barcelona,GS
2018/19,Dortmund,3.2,3,0,0.5,Monaco,GS
2018/19,PSV Eindhoven,0.7,1,2,2.6,Inter,GS
2018/19,Atlético Madrid,1.8,3,1,0.6,Club Brugge,GS
2018/19,Napoli,1.9,1,0,0.1,Liverpool,GS
2018/19,Young Boys,1.9,1,1,0.9,Valencia,GS
2018/19,AEK Athens,0.3,0,2,2.3,Bayern Munich,GS
2018/19,Manchester Utd,0.3,0,1,1.3,Juventus,GS
2018/19,Roma,2.3,3,0,0.5,CSKA Moscow,GS
2018/19,Ajax,1.5,1,0,0.7,Benfica,GS
2018/19,Hoffenheim,4.1,3,3,1.5,Lyon,GS
2018/19,Real Madrid,2.6,2,1,1.6,Viktoria Plzeň,GS
2018/19,Shakhtar,1.1,0,3,2.6,Manchester City,GS
2018/19,Club Brugge,1.5,1,1,0.8,Monaco,GS
2018/19,PSV Eindhoven,0.9,2,2,2.0,Tottenham,GS
2018/19,Liverpool,5.0,4,0,0.5,Red Star,GS
2018/19,Barcelona,2.2,2,0,1.0,Inter,GS
2018/19,Dortmund,2.0,4,0,0.6,Atlético Madrid,GS
2018/19,Paris S-G,1.1,2,2,1.7,Napoli,GS
2018/19,Loko Moscow,2.1,1,3,1.5,Porto,GS
2018/19,Galatasaray,0.6,0,0,2.2,Schalke 04,GS
2018/19,Monaco,1.1,0,4,1.9,Club Brugge,GS
2018/19,Red Star,0.7,2,0,2.2,Liverpool,GS
2018/19,Tottenham,3.5,2,1,0.6,PSV Eindhoven,GS
2018/19,Porto,1.4,4,1,0.7,Loko Moscow,GS
2018/19,Schalke 04,1.5,2,0,0.7,Galatasaray,GS
2018/19,Atlético Madrid,1.5,2,0,0.6,Dortmund,GS
2018/19,Inter,1.0,1,1,1.6,Barcelona,GS
2018/19,Napoli,2.0,1,1,1.3,Paris S-G,GS
2018/19,Valencia,1.8,3,1,1.0,Young Boys,GS
2018/19,Manchester City,3.4,6,0,0.4,Shakhtar,GS
2018/19,Benfica,1.4,1,1,1.6,Ajax,GS
2018/19,CSKA Moscow,1.1,1,2,2.4,Roma,GS
2018/19,Juventus,1.9,1,2,0.8,Manchester Utd,GS
2018/19,Viktoria Plzeň,0.5,0,5,1.6,Real Madrid,GS
2018/19,Lyon,2.5,2,2,1.9,Hoffenheim,GS
2018/19,Bayern Munich,2.7,2,0,0.4,AEK Athens,GS
2018/19,AEK Athens,0.4,0,2,2.2,Ajax,GS
2018/19,Manchester Utd,1.3,1,0,0.6,Young Boys,GS
2018/19,CSKA Moscow,2.2,1,2,2.0,Viktoria Plzeň,GS
2018/19,Lyon,2.3,2,2,1.0,Manchester City,GS
2018/19,Juventus,1.8,1,0,0.3,Valencia,GS
2018/19,Hoffenheim,1.3,2,3,2.1,Shakhtar,GS
2018/19,Bayern Munich,1.9,5,1,0.5,Benfica,GS
2018/19,Roma,2.1,0,2,1.7,Real Madrid,GS
2018/19,Atlético Madrid,0.9,2,0,1.3,Monaco,GS
2018/19,Tottenham,1.3,1,0,1.0,Inter,GS
2018/19,Porto,1.6,3,1,0.9,Schalke 04,GS
2018/19,Loko Moscow,1.4,2,0,1.3,Galatasaray,GS
2018/19,Paris S-G,1.5,2,1,1.3,Liverpool,GS
2018/19,Dortmund,1.2,0,0,0.3,Club Brugge,GS
2018/19,Napoli,2.4,3,1,0.8,Red Star,GS
2018/19,PSV Eindhoven,3.0,1,2,2.4,Barcelona,GS
2018/19,Schalke 04,2.1,1,0,0.7,Loko Moscow,GS
2018/19,Liverpool,3.0,1,0,1.2,Napoli,GS
2018/19,Galatasaray,3.9,2,3,1.7,Porto,GS
2018/19,Monaco,0.6,0,2,2.6,Dortmund,GS
2018/19,Red Star,0.4,1,4,2.9,Paris S-G,GS
2018/19,Inter,1.9,1,1,1.2,PSV Eindhoven,GS
2018/19,Club Brugge,0.6,0,0,0.4,Atlético Madrid,GS
2018/19,Barcelona,1.3,1,1,2.4,Tottenham,GS
2018/19,Viktoria Plzeň,2.0,2,1,1.1,Roma,GS
2018/19,Real Madrid,1.3,0,3,0.9,CSKA Moscow,GS
2018/19,Manchester City,3.4,2,1,1.4,Hoffenheim,GS
2018/19,Benfica,1.8,1,0,0.4,AEK Athens,GS
2018/19,Young Boys,1.2,2,1,2.1,Juventus,GS
2018/19,Valencia,1.4,2,1,1.8,Manchester Utd,GS
2018/19,Ajax,3.0,3,3,3.1,Bayern Munich,GS
2018/19,Shakhtar,1.1,1,1,1.3,Lyon,GS
2017/18,Benfica,2.1,1,2,1.6,CSKA Moscow,GS
2017/18,Manchester United,3.4,3,0,0.6,Basel,GS
2017/18,Chelsea,2.0,6,0,0.3,Qarabag,GS
2017/18,Celtic,0.4,0,5,2.5,Paris Saint-Germain,GS
2017/18,Barcelona,0.9,3,0,0.7,Juventus,GS
2017/18,Bayern Munich,4.2,3,0,0.8,Anderlecht,GS
2017/18,Roma,0.5,0,0,2.4,Atletico Madrid,GS
2017/18,Olympiacos,1.1,2,3,2.6,Sporting CP,GS
2017/18,Tottenham,1.2,3,1,0.8,Dortmund,GS
2017/18,Liverpool,2.4,2,2,1.2,Sevilla,GS
2017/18,Porto,1.5,1,3,0.9,Besiktas,GS
2017/18,Maribor,1.1,1,1,1.8,Spartak Moscow,GS
2017/18,Feyenoord,0.3,0,4,1.3,Manchester City,GS
2017/18,Real Madrid,3.9,3,0,0.2,APOEL FC,GS
2017/18,RB Leipzig,0.9,1,1,1.1,Monaco,GS
2017/18,Shakhtar,1.4,2,1,1.9,Napoli,GS
2017/18,Manchester City,3.2,2,0,0.5,Shakhtar,GS
2017/18,Monaco,0.6,0,3,2.9,Porto,GS
2017/18,Sevilla,3.9,3,0,0.4,Maribor,GS
2017/18,Dortmund,1.2,1,3,3.2,Real Madrid,GS
2017/18,Napoli,0.9,3,1,1.6,Feyenoord,GS
2017/18,Besiktas,1.0,2,0,1.1,RB Leipzig,GS
2017/18,Spartak Moscow,0.2,1,1,2.8,Liverpool,GS
2017/18,APOEL FC,1.0,0,3,1.8,Tottenham,GS
2017/18,CSKA Moscow,0.6,1,4,4.3,Manchester United,GS
2017/18,Sporting CP,0.7,0,1,0.9,Barcelona,GS
2017/18,Qarabag,0.9,1,2,1.9,Roma,GS
2017/18,Paris Saint-Germain,2.0,3,0,1.0,Bayern Munich,GS
2017/18,Anderlecht,0.6,0,3,1.2,Celtic,GS
2017/18,Atletico Madrid,1.4,1,2,2.5,Chelsea,GS
2017/18,Basel,3.2,5,0,0.4,Benfica,GS
2017/18,Juventus,2.3,2,0,0.5,Olympiacos,GS
2017/18,Manchester City,2.7,2,1,2.2,Napoli,GS
2017/18,Feyenoord,1.6,1,2,1.3,Shakhtar,GS
2017/18,Maribor,0.4,0,7,4.6,Liverpool,GS
2017/18,Monaco,0.7,1,2,1.2,Besiktas,GS
2017/18,RB Leipzig,2.5,3,2,1.1,Porto,GS
2017/18,Real Madrid,2.9,1,1,0.9,Tottenham,GS
2017/18,Spartak Moscow,1.7,5,1,1.3,Sevilla,GS
2017/18,APOEL FC,1.0,1,1,2.1,Dortmund,GS
2017/18,Chelsea,1.6,3,3,1.6,Roma,GS
2017/18,Benfica,0.5,0,1,0.6,Manchester United,GS
2017/18,Qarabag,0.4,0,0,1.9,Atletico Madrid,GS
2017/18,Bayern Munich,3.2,3,0,0.6,Celtic,GS
2017/18,Anderlecht,1.2,0,4,3.3,Paris Saint-Germain,GS
2017/18,Barcelona,3.5,3,1,0.2,Olympiacos,GS
2017/18,Juventus,1.5,2,1,0.5,Sporting CP,GS
2017/18,CSKA Moscow,0.4,0,2,1.4,Basel,GS
2017/18,Manchester United,2.7,2,0,0.9,Benfica,GS
2017/18,Sporting CP,0.5,1,1,2.0,Juventus,GS
2017/18,Celtic,1.4,1,2,0.7,Bayern Munich,GS
2017/18,Roma,1.5,3,0,1.3,Chelsea,GS
2017/18,Paris Saint-Germain,2.6,5,0,0.2,Anderlecht,GS
2017/18,Basel,1.2,1,2,1.3,CSKA Moscow,GS
2017/18,Atletico Madrid,3.2,1,1,0.2,Qarabag,GS
2017/18,Olympiacos,0.3,0,0,1.8,Barcelona,GS
2017/18,Tottenham,2.3,3,1,2.2,Real Madrid,GS
2017/18,Porto,1.8,3,1,0.6,RB Leipzig,GS
2017/18,Liverpool,2.7,3,0,0.3,Maribor,GS
2017/18,Besiktas,1.3,1,1,1.0,Monaco,GS
2017/18,Napoli,2.1,2,4,1.4,Manchester City,GS
2017/18,Dortmund,2.8,1,1,0.6,APOEL FC,GS
2017/18,Sevilla,0.9,2,1,1.2,Spartak Moscow,GS
2017/18,Shakhtar,2.6,3,1,1.0,Feyenoord,GS
2017/18,Manchester City,1.3,1,0,0.3,Feyenoord,GS
2017/18,Besiktas,0.7,1,1,0.7,Porto,GS
2017/18,Spartak Moscow,1.4,1,1,1.2,Maribor,GS
2017/18,Dortmund,1.1,1,2,1.1,Tottenham,GS
2017/18,Monaco,0.8,1,4,1.5,RB Leipzig,GS
2017/18,Napoli,1.9,3,0,0.5,Shakhtar,GS
2017/18,Sevilla,1.9,3,3,2.3,Liverpool,GS
2017/18,APOEL FC,0.5,0,6,3.7,Real Madrid,GS
2017/18,Sporting CP,2.0,3,1,0.4,Olympiacos,GS
2017/18,CSKA Moscow,1.0,2,0,1.0,Benfica,GS
2017/18,Anderlecht,1.8,1,2,2.2,Bayern Munich,GS
2017/18,Atletico Madrid,1.4,2,0,0.5,Roma,GS
2017/18,Paris Saint-Germain,2.8,7,1,0.3,Celtic,GS
2017/18,Basel,1.1,1,0,1.5,Manchester United,GS
2017/18,Juventus,0.5,0,0,0.9,Barcelona,GS
2017/18,Qarabag,0.2,0,4,3.9,Chelsea,GS
2017/18,Benfica,1.4,0,2,1.4,Basel,GS
2017/18,Manchester United,2.9,2,1,0.8,CSKA Moscow,GS
2017/18,Celtic,0.8,0,1,0.7,Anderlecht,GS
2017/18,Chelsea,2.9,1,1,1.0,Atletico Madrid,GS
2017/18,Bayern Munich,1.8,3,1,1.9,Paris Saint-Germain,GS
2017/18,Roma,1.9,1,0,0.4,Qarabag,GS
2017/18,Barcelona,1.2,2,0,1.0,Sporting CP,GS
2017/18,Olympiacos,1.0,0,2,1.5,Juventus,GS
2017/18,Porto,1.9,5,2,1.7,Monaco,GS
2017/18,Liverpool,4.2,7,0,0.6,Spartak Moscow,GS
2017/18,Tottenham,2.3,3,0,0.6,APOEL FC,GS
2017/18,Maribor,0.8,1,1,1.7,Sevilla,GS
2017/18,Feyenoord,0.7,2,1,1.3,Napoli,GS
2017/18,RB Leipzig,3.0,1,2,1.8,Besiktas,GS
2017/18,Real Madrid,2.7,3,2,1.7,Dortmund,GS
2017/18,Shakhtar,1.7,2,1,1.7,Manchester City,GS